,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.5,0.47,0.55,0.58,0.62,0.7,0.53,0.69,0.68,0.64,0.71,0.62,0.63,0.8,0.6,0.75,0.7,0.53,0.67,0.79,0.69,0.47,0.63,0.5,0.66,0.81,0.59,0.62,0.6,0.57,0.61
1,0.47,0.45,0.69,0.66,0.56,0.62,0.64,0.78,0.67,0.77,0.69,0.71,0.77,0.67,0.76,0.69,0.71,,,,,,,,,,,,,,
2,0.67,0.53,0.55,0.62,0.53,0.72,0.57,0.55,0.82,0.6,0.58,0.6,0.68,0.65,0.85,0.93,0.65,,,,,,,,,,,,,,
3,0.75,0.64,0.69,0.71,0.0,0.7,0.69,0.56,0.62,0.85,0.77,0.53,0.75,0.8,0.58,0.44,0.82,0.68,,,,,,,,,,,,,
4,0.67,0.56,0.7,0.61,0.86,0.59,0.65,0.73,0.64,0.57,0.5,0.67,0.61,0.8,0.5,0.55,0.61,0.6,0.87,0.63,0.71,,,,,,,,,,
