,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.7,0.52,0.71,0.73,0.71,0.88,0.69,0.81,0.81,0.78,0.83,0.76,0.77,0.89,0.76,0.9,0.84,0.67,0.83,0.88,0.87,0.68,0.8,0.67,0.76,0.76,0.88,0.86,0.73,0.71,0.67
1,0.81,0.23,0.45,0.88,0.73,0.87,0.86,0.84,0.8,0.87,0.76,0.87,0.88,0.83,0.88,0.86,0.74,,,,,,,,,,,,,,
2,0.88,0.67,0.72,0.79,0.76,0.79,0.8,0.71,0.46,0.82,0.75,0.8,0.74,0.81,0.89,0.83,0.77,,,,,,,,,,,,,,
3,0.87,0.72,0.71,0.84,0.0,0.78,0.96,0.57,0.81,0.85,0.8,0.67,0.86,0.97,0.73,0.58,0.9,0.84,,,,,,,,,,,,,
4,0.87,0.78,0.82,0.74,0.91,0.79,0.83,0.7,0.79,0.8,0.7,0.82,0.8,0.55,0.76,0.67,0.74,0.86,0.96,0.83,0.65,,,,,,,,,,
