,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.67,0.64,0.71,0.73,0.76,0.82,0.69,0.81,0.81,0.78,0.83,0.76,0.77,0.89,0.75,0.86,0.82,0.7,0.8,0.88,0.81,0.64,0.78,0.67,0.79,0.9,0.74,0.77,0.75,0.73,0.76
1,0.64,0.62,0.81,0.79,0.72,0.76,0.78,0.88,0.8,0.87,0.82,0.83,0.87,0.8,0.86,0.81,0.83,,,,,,,,,,,,,,
2,0.8,0.7,0.71,0.76,0.7,0.84,0.73,0.71,0.9,0.75,0.74,0.75,0.81,0.79,0.92,0.96,0.79,,,,,,,,,,,,,,
3,0.86,0.78,0.81,0.83,0.17,0.82,0.81,0.71,0.76,0.92,0.87,0.7,0.86,0.89,0.73,0.61,0.9,0.81,,,,,,,,,,,,,
4,0.8,0.72,0.82,0.76,0.92,0.74,0.79,0.84,0.78,0.73,0.67,0.8,0.76,0.89,0.67,0.71,0.76,0.75,0.93,0.77,0.83,,,,,,,,,,
